Team: 100 Thieves, Player: Boostio, Mouse: Lamzu Maya X Pink, Hz: 8000.0, DPI: 800.0, Sens: 0.233, eDPI: 186.4, Scoped Sens: 1.0, Monitor: LG ULTRAGEAR 27GN750-B, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: HyperX Cloud II, Chair: NULL
Team: 9z Team, Player: Tacolilla, Mouse: Lamzu Maya X White, Hz: 1000.0, DPI: 800.0, Sens: 0.47, eDPI: 376.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1680x1050, Mousepad: VAXEE PA P22, Keyboard: Razer Huntsman TE, Headset: Logitech G Pro X Headset, Chair: Razer Iskur V2
Team: 9z Team, Player: NagZet, Mouse: ZOWIE EC2-CW, Hz: 1000.0, DPI: 400.0, Sens: 0.58, eDPI: 232.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: VAXEE PA FunSpark V2, Keyboard: Logitech G915 TKL Carbon, Headset: HyperX Cloud Flight, Chair: NULL
Team: 9z Team, Player: delz1k, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 400.0, Sens: 0.72, eDPI: 288.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: VAXEE PA Black, Keyboard: HyperX Alloy FPS Pro, Headset: HyperX Cloud Flight, Chair: NULL
Team: All Gamers, Player: K1ra, Mouse: Razer DeathAdder V3 HyperSpeed, Hz: 1000.0, DPI: 800.0, Sens: 0.27, eDPI: 216.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Bi, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: All Gamers, Player: TZH, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 1600.0, Sens: 0.1, eDPI: 160.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1280x960, Mousepad: VAXEE PE Cozy, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: All Gamers, Player: Lsn, Mouse: Razer Viper V3 Pro White, Hz: 1000.0, DPI: 600.0, Sens: 0.326, eDPI: 195.6, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: VAXEE PA Pcute 2025HNY, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: All Gamers, Player: monk, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.786, eDPI: 628.8, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: VAXEE PA Lemonade, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: All Gamers, Player: deLb, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.206, eDPI: 164.8, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: VAXEE PA DanDan, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: All Gamers, Player: XiYiJi, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.2, eDPI: 160.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1280x960, Mousepad: Artisan Ninja FX Zero Soft Black, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: ALTERNATE aTTaX, Player: kovaQ, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 400.0, Sens: 0.5, eDPI: 200.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2540K, Resolution: 1920x1080, Mousepad: ZOWIE G-SR, Keyboard: Logitech G Pro X Keyboard, Headset: Logitech G332, Chair: Sharkoon ELBRUS 3 aTTaX Edition
Team: ALTERNATE aTTaX, Player: xanarchy, Mouse: Razer Deathadder V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.4325, eDPI: 346.0, Scoped Sens: 0.7, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: VAXEE PA ZYGEN, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro Black, Chair: Sharkoon ELBRUS 3 aTTaX Edition
Team: ALTERNATE aTTaX, Player: luckeRRR, Mouse: Razer Deathadder V3 Pro Black, Hz: 8000.0, DPI: 800.0, Sens: 0.39, eDPI: 312.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: Razer Gigantus V2, Keyboard: Razer Huntsman V3 Pro, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: ALTERNATE aTTaX, Player: stavros, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 1600.0, Sens: 0.19, eDPI: 304.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: HyperX Fury S Pro, Keyboard: Razer Huntsman V3 Pro, Headset: Razer BlackShark V2 Pro Black, Chair: Sharkoon ELBRUS 3 aTTaX Edition
Team: ALTERNATE aTTaX, Player: Jini, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.2, eDPI: 160.0, Scoped Sens: 1.0, Monitor: AOC 24G2Z, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero Soft Black, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro Black, Chair: Sharkoon ELBRUS 3 aTTaX Edition
Team: ALTERNATE aTTaX, Player: AdrianL, Mouse: Razer Viper V3 Pro Black, Hz: 4000.0, DPI: 800.0, Sens: 0.3, eDPI: 240.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero Soft Black, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Apeks, Player: batujnax, Mouse: Lamzu Maya Doodle, Hz: 2000.0, DPI: 400.0, Sens: 0.7, eDPI: 280.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1280x882, Mousepad: Custom Mousepad, Keyboard: Wraith W75, Headset: HyperX Cloud II, Chair: NULL
Team: Apeks, Player: AvovA, Mouse: Razer Viper V3 Pro White, Hz: 4000.0, DPI: 1600.0, Sens: 0.25, eDPI: 400.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: Artisan Raiden FX Soft Orange, Keyboard: LAMZU Jet75 White, Headset: Logitech G Pro X Wireless Headset, Chair: NULL
Team: Apeks, Player: MOLSI, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 1600.0, Sens: 0.16, eDPI: 256.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1280x960, Mousepad: Artisan Ninja FX Zero XSoft Orange, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Apeks, Player: hype, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.35, eDPI: 280.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero XSoft Black, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Barca Esports, Player: Fit1nho, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 800.0, Sens: 0.314, eDPI: 251.2, Scoped Sens: NULL, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Lethal Gaming Gear Saturn Pro Red, Keyboard: Wooting 60HE+, Headset: HyperX Cloud II, Chair: Secretlab Titan EVO 2022
Team: Barca Esports, Player: lowel, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 400.0, Sens: 0.566, eDPI: 226.4, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Gamesense Radar, Keyboard: Razer Huntsman V2 TKL, Headset: Logitech G Pro X Wireless Headset, Chair: NULL
Team: BBL Esports, Player: chiwa, Mouse: Logitech G Pro X Superlight 2 Black, Hz: 4000.0, DPI: 800.0, Sens: 0.25, eDPI: 200.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: Wooting 60HE+, Headset: HyperX Cloud II, Chair: NULL
Team: BBL Esports, Player: Lewn, Mouse: Logitech G Pro X Superlight 2 Dex Black, Hz: 1000.0, DPI: 800.0, Sens: 0.4, eDPI: 320.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1280x960, Mousepad: ZOWIE G-SR-SE Bi, Keyboard: Wooting 60HE+, Headset: NULL, Chair: NULL
Team: BBL Esports, Player: sociablEE, Mouse: Logitech G Pro X Superlight 2 White, Hz: 1000.0, DPI: 800.0, Sens: 0.3, eDPI: 240.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Bi, Keyboard: Razer Huntsman V3 Pro Mini White, Headset: HyperX Cloud II, Chair: Secretlab Titan EVO 2022
Team: BBL Esports, Player: Jamppi, Mouse: VAXEE E1 Wireless Red, Hz: 1000.0, DPI: 800.0, Sens: 0.317, eDPI: 253.56, Scoped Sens: 1.009, Monitor: Alienware AW2523HF, Resolution: 1920x1080, Mousepad: VAXEE PE-K Pink, Keyboard: Wooting 80HE Black, Headset: HyperX Cloud II, Chair: Secretlab x Team Liquid Gaming Chair
Team: BBL Esports, Player: Magnum, Mouse: Razer Viper V2 Pro Black, Hz: 1000.0, DPI: 400.0, Sens: 0.242, eDPI: 96.8, Scoped Sens: 0.9, Monitor: AOC C24G1, Resolution: 1280x1024, Mousepad: SteelSeries QcK+, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: HyperX Cloud II, Chair: NULL
Team: BBL Esports, Player: PROFEK, Mouse: Logitech G Pro X Superlight 2 Black, Hz: 1000.0, DPI: 1600.0, Sens: 0.125, eDPI: 200.0, Scoped Sens: NULL, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Artisan Hayate Otsu Soft Wine Red, Keyboard: Wooting 60HE+, Headset: HyperX Cloud III Wireless, Chair: Secretlab Titan EVO 2022
Team: Bilibili Gaming, Player: whzy, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 1600.0, Sens: 0.16, eDPI: 256.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1600x1024, Mousepad: VAXEE PA Y22, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro White, Chair: NULL
Team: Bilibili Gaming, Player: Knight, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 400.0, Sens: 0.691, eDPI: 276.4, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Logitech G640 Original, Keyboard: Razer Huntsman V3 Pro TKL White, Headset: HyperX Cloud II, Chair: NULL
Team: Bleed eSports, Player: Zest, Mouse: Razer Viper V3 Hyperspeed, Hz: 1000.0, DPI: 400.0, Sens: 0.56, eDPI: 224.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: ZOWIE G-SR, Keyboard: Wooting 60HE+, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Case Esports, Player: Yurii, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 800.0, Sens: 0.3, eDPI: 240.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: NULL, Keyboard: NULL, Headset: HyperX Cloud II, Chair: NULL
Team: CGN Esports, Player: DaviH, Mouse: Razer Viper Mini Signature Edition, Hz: 1000.0, DPI: 800.0, Sens: 0.28, eDPI: 224.0, Scoped Sens: 1.14, Monitor: ZOWIE XL2566K, Resolution: 1680x1050, Mousepad: Razer Strider, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: Razer BlackShark V2 Pro White, Chair: NULL
Team: CGN Esports, Player: elllement, Mouse: Razer Viper Mini Signature Edition, Hz: 1000.0, DPI: 1600.0, Sens: 0.22, eDPI: 352.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Razer Strider, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro White, Chair: NULL
Team: CGN Esports, Player: BennY, Mouse: Razer Viper Mini Signature Edition, Hz: 4000.0, DPI: 800.0, Sens: 0.315, eDPI: 252.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Razer Gigantus Elite, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro White, Chair: NULL
Team: CGN Esports, Player: Vince, Mouse: Razer Viper V2 Pro White, Hz: 1000.0, DPI: 800.0, Sens: 0.23, eDPI: 184.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Razer Atlas Black, Keyboard: Razer Huntsman V3 Pro TKL Black, Headset: Razer BlackShark V2 Pro White, Chair: NULL
Team: CGN Esports, Player: Ambi, Mouse: Logitech G Pro X Superlight White, Hz: 1000.0, DPI: 400.0, Sens: 0.41, eDPI: 164.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero XSoft Black, Keyboard: Corsair STRAFE, Headset: HyperX Cloud II, Chair: Sharkoon ELBRUS 3 aTTaX Edition
Team: Cloud9, Player: OXY, Mouse: Lamzu Maya X White, Hz: 4000.0, DPI: 800.0, Sens: 0.23, eDPI: 184.0, Scoped Sens: 0.914, Monitor: NULL, Resolution: 1600x1080, Mousepad: ZOWIE G-SR-SE Bi, Keyboard: Wooting 60HE+, Headset: Sennheiser PC38X, Chair: Secretlab Cloud9 Edition
Team: Cloud9, Player: Xeppaa, Mouse: ZOWIE EC2-C, Hz: 1000.0, DPI: 800.0, Sens: 0.35, eDPI: 280.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1280x960, Mousepad: SteelSeries QcK Heavy, Keyboard: Wooting 60HE+, Headset: HyperX Cloud II, Chair: Secretlab Cloud9 Edition
Team: Cloud9, Player: v1c, Mouse: Logitech G Pro X Superlight White, Hz: 1000.0, DPI: 800.0, Sens: 0.156, eDPI: 124.8, Scoped Sens: 1.0, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: SteelSeries QcK Heavy, Keyboard: Wooting 60HE+, Headset: HyperX Cloud II Wireless, Chair: NULL
Team: Cloud9, Player: mitch, Mouse: Lamzu Maya X Purple Shadow, Hz: 8000.0, DPI: 800.0, Sens: 0.28, eDPI: 224.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2540, Resolution: 1920x1080, Mousepad: HyperX Fury S Pro, Keyboard: Wooting 80HE Black, Headset: Razer BlackShark V2 Pro Black, Chair: NULL
Team: Cloud9, Player: neT, Mouse: Razer Viper V2 Pro White, Hz: 1000.0, DPI: 1600.0, Sens: 0.11, eDPI: 176.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero Soft Black, Keyboard: Wooting 60HE+, Headset: HyperX Cloud II, Chair: NULL
Team: Content Creator, Player: Dizzy, Mouse: Endgame Gear OP1 8k Black, Hz: 2000.0, DPI: 800.0, Sens: 0.35, eDPI: 280.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: ZOWIE G-SR-SE Rouge, Keyboard: SteelSeries Apex Pro TKL, Headset: NULL, Chair: NULL
Team: Content Creator, Player: Hiko, Mouse: WLMouse BEAST X Mini Black, Hz: 1000.0, DPI: 1600.0, Sens: 0.36, eDPI: 576.0, Scoped Sens: 1.0, Monitor: ASUS ROG SWIFT XG27AQM, Resolution: 1680x1050, Mousepad: ZOWIE G-SR-SE HiKo Edition, Keyboard: Razer Blackwidow TE, Headset: JBL Quantum One, Chair: NULL
Team: Content Creator, Player: XAROLA, Mouse: Razer Deathadder V3 Pro Black, Hz: 4000.0, DPI: 1600.0, Sens: 0.2, eDPI: 320.0, Scoped Sens: NULL, Monitor: AOC 24G2Z, Resolution: 1920x1080, Mousepad: Yuki Aim Katana XL, Keyboard: NULL, Headset: ASTRO A50, Chair: NULL
Team: Content Creator, Player: L1NK, Mouse: VAXEE XE Wireless Black, Hz: 1000.0, DPI: 800.0, Sens: 0.24, eDPI: 192.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: VAXEE PB Black, Keyboard: Wooting 60HE+, Headset: HyperX Cloud II, Chair: NULL
Team: Content Creator, Player: Kyedae, Mouse: Logitech G Pro X Superlight Black, Hz: 1000.0, DPI: 1600.0, Sens: 0.23, eDPI: 368.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2586X, Resolution: 1920x1080, Mousepad: VAXEE PA Lemonade, Keyboard: Wooting 60HE+, Headset: Xtrfy H1, Chair: Herman Miller Embody
Team: Content Creator, Player: xand, Mouse: Razer Viper V3 Pro White, Hz: 1000.0, DPI: 1600.0, Sens: 0.25, eDPI: 400.0, Scoped Sens: 0.9, Monitor: ZOWIE XL2546K, Resolution: 1920x1080, Mousepad: VAXEE PA FunSpark V2, Keyboard: Razer Huntsman V3 Pro Mini Black, Headset: HyperX Cloud Alpha, Chair: NULL
Team: Content Creator, Player: sinatraa, Mouse: Logitech G Pro X Superlight 2 White, Hz: 1000.0, DPI: 800.0, Sens: 0.387, eDPI: 309.6, Scoped Sens: 1.0, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: Logitech G640 Original, Keyboard: Matrix x sinatraa Keyboard, Headset: JBL Quantum One, Chair: NULL
Team: Content Creator, Player: Horcus, Mouse: HITSCAN Hyperlight White, Hz: 1000.0, DPI: 800.0, Sens: 0.315, eDPI: 252.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: GIGABYTE AORUS AMP500, Keyboard: Razer Huntsman Elite, Headset: HyperX Cloud II, Chair: NULL
Team: Content Creator, Player: Fragstube, Mouse: NZXT Lift Elite, Hz: 1000.0, DPI: 800.0, Sens: 0.314, eDPI: 251.2, Scoped Sens: NULL, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Custom Mousepad, Keyboard: NZXT Function Elite MiniTKL, Headset: NULL, Chair: NULL
Team: Content Creator, Player: TenZ, Mouse: Pulsar TenZ Signature Edition, Hz: 1000.0, DPI: 1600.0, Sens: 0.156, eDPI: 249.6, Scoped Sens: 1.0, Monitor: ZOWIE XL2586X, Resolution: 1440x900, Mousepad: Custom Mousepad, Keyboard: Wooting 80HE Black, Headset: Xtrfy H1, Chair: Secretlab Titan Evo Jett
Team: Content Creator, Player: Vorwenn, Mouse: Razer Viper V3 Pro Black, Hz: 1000.0, DPI: 800.0, Sens: 0.4, eDPI: 320.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2540K, Resolution: 1280x960, Mousepad: Artisan Ninja FX Zero XSoft Black, Keyboard: Wooting 80HE Black, Headset: HyperX Cloud Alpha S, Chair: NULL
Team: Content Creator, Player: Drakonz, Mouse: Razer Viper Ultimate, Hz: 1000.0, DPI: 800.0, Sens: 0.346, eDPI: 274.8, Scoped Sens: 1.0, Monitor: ZOWIE XL2546, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero Soft Black, Keyboard: SteelSeries Apex Pro TKL, Headset: HyperX Cloud Alpha, Chair: Secretlab Titan
Team: Content Creator, Player: aco, Mouse: Lamzu Atlantis, Hz: 1000.0, DPI: 400.0, Sens: 0.8, eDPI: 320.0, Scoped Sens: NULL, Monitor: NULL, Resolution: NULL, Mousepad: Artisan Ninja FX Zero Soft Black, Keyboard: ZENAIM Keyboard, Headset: NULL, Chair: NULL
Team: Content Creator, Player: Doenmo, Mouse: Logitech G Pro X Superlight 2 Black, Hz: 1000.0, DPI: 800.0, Sens: 0.287, eDPI: 229.6, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: NULL, Keyboard: Wooting 60HE+, Headset: NULL, Chair: NULL
Team: Corinthians, Player: liazzi, Mouse: VAXEE XE Wireless Pink, Hz: 4000.0, DPI: 800.0, Sens: 0.6, eDPI: 480.0, Scoped Sens: NULL, Monitor: AOC AG251FZ, Resolution: 1280x960, Mousepad: SteelSeries QcK Heavy, Keyboard: Wooting 80HE Black, Headset: Logitech G Pro X Wireless Headset, Chair: NULL
Team: Corinthians, Player: Shionxy, Mouse: Pulsar Xlite V3 Es Black, Hz: 4000.0, DPI: 800.0, Sens: 0.28, eDPI: 224.0, Scoped Sens: 1.0, Monitor: Alienware AW2523HF, Resolution: 1568x1080, Mousepad: SteelSeries QcK Heavy, Keyboard: NULL, Headset: HyperX Cloud III Wireless, Chair: NULL
Team: Corinthians, Player: sw, Mouse: Logitech G Pro X Superlight 2 Black, Hz: 8000.0, DPI: 800.0, Sens: 0.2, eDPI: 160.0, Scoped Sens: 1.0, Monitor: Alienware AW2523HF, Resolution: 1920x1080, Mousepad: Lethal Gaming Gear Saturn Pro V2, Keyboard: NULL, Headset: Fallen Gear Morcego Pro Wireless, Chair: NULL
Team: Corinthians, Player: Tkzin, Mouse: Ninjutso Sora V2 Black, Hz: 4000.0, DPI: 1600.0, Sens: 0.1, eDPI: 160.0, Scoped Sens: 0.88, Monitor: Alienware AW2523HF, Resolution: 1568x1080, Mousepad: Artisan Type-99 Matcha, Keyboard: NULL, Headset: HyperX Cloud III Black, Chair: NULL
Team: Corinthians, Player: Pollo, Mouse: Logitech G Pro X Superlight 2 Black, Hz: 4000.0, DPI: 1600.0, Sens: 0.8, eDPI: 1280.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2546X+, Resolution: 1920x1080, Mousepad: Artisan FX Hien XSoft Black, Keyboard: Wooting 60HE+, Headset: HyperX Cloud III Wireless, Chair: NULL
Team: Cubert Academy, Player: tdawgg, Mouse: Razer Naga X, Hz: 1000.0, DPI: 1600.0, Sens: 0.145, eDPI: 232.0, Scoped Sens: NULL, Monitor: NULL, Resolution: 1920x1080, Mousepad: SteelSeries QcK Performance Speed, Keyboard: Logitech G515, Headset: Logitech G Pro Headset, Chair: NULL
Team: Cubert Academy, Player: reduxx, Mouse: Razer Deathadder V3 Pro Black, Hz: 4000.0, DPI: 1600.0, Sens: 0.15, eDPI: 240.0, Scoped Sens: 0.743, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Lethal Gaming Gear Saturn Pro, Keyboard: Wooting 60HE+, Headset: Logitech G PRO X 2 Headset Black, Chair: Herman Miller Embody
Team: Cubert Academy, Player: nightz, Mouse: Razer Viper V3 Pro Black, Hz: 4000.0, DPI: 1600.0, Sens: 0.175, eDPI: 280.0, Scoped Sens: 1.0, Monitor: ZOWIE XL2566K, Resolution: 1920x1080, Mousepad: Artisan Ninja FX Zero Soft Black, Keyboard: Wooting 60HE+, Headset: HyperX Cloud III, Chair: NULL
